[2025-09-21 16:54:49.486] [INFO ] [T001] [FastCopyService] FastCopy服务初始化: C:\Program Files\FastCopy64\fcp.exe
[2025-09-21 16:54:49.515] [INFO ] [T001] [FastCopyService] 系统中没有发现FastCopy进程
[2025-09-21 16:54:49.519] [INFO ] [T001] [FastCopyService] FastCopy服务初始化: C:\Program Files\FastCopy64\fcp.exe
[2025-09-21 16:54:49.531] [INFO ] [T001] [FastCopyService] 系统中没有发现FastCopy进程
[2025-09-21 16:54:49.532] [INFO ] [T001] [FileSyncService] FastCopy最大并发数设置为: 3
[2025-09-21 16:54:49.532] [INFO ] [T001] [FileSyncService] FileSyncService 初始化完成
[2025-09-21 16:54:49.532] [INFO ] [T001] [FastCopyService] FastCopy服务初始化: C:\Program Files\FastCopy64\fcp.exe
[2025-09-21 16:54:49.545] [INFO ] [T001] [FastCopyService] 系统中没有发现FastCopy进程
[2025-09-21 16:55:09.102] [INFO ] [T004] [FileSyncService] 检测到文件变化，等待写入完成: Ibanez A
[2025-09-21 16:55:09.102] [INFO ] [T006] [FileSyncService] 检测到文件变化，等待写入完成: Ibanez A
[2025-09-21 16:55:09.106] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: 主机位
[2025-09-21 16:55:09.106] [INFO ] [T008] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:09.114] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: C1712.MP4
[2025-09-21 16:55:09.114] [INFO ] [T006] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1712.MP4
[2025-09-21 16:55:11.622] [INFO ] [T017] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1712.MP4
[2025-09-21 16:55:11.629] [INFO ] [T008] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:11.632] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: C1713.MP4
[2025-09-21 16:55:11.632] [INFO ] [T008] [FileSyncService] 检测到文件变化，等待写入完成: C1713.MP4
[2025-09-21 16:55:13.550] [INFO ] [T010] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1713.MP4
[2025-09-21 16:55:13.607] [INFO ] [T010] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:13.610] [INFO ] [T006] [FileSyncService] 检测到文件变化，等待写入完成: C1714.MP4
[2025-09-21 16:55:13.610] [INFO ] [T008] [FileSyncService] 检测到文件变化，等待写入完成: C1714.MP4
[2025-09-21 16:55:14.194] [INFO ] [T008] [FileSyncService] 文件写入已完成，准备同步: C1712.MP4
[2025-09-21 16:55:14.202] [INFO ] [T006] [FileSyncService] 获取FastCopy并发许可，开始复制: C1712.MP4
[2025-09-21 16:55:15.767] [INFO ] [T010] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1714.MP4
